Rank,title,AuthorName,Language,Price_normal,Id
1,Syv m2 med lås,Jussi Adler-Olsen,Dansk,249.95,9788740068849
2,Terminalen,Michael Katz Krefeld,Dansk,199.95,9788740090079
3,OXEN – Pilgrim,Jens Henrik Jensen,Dansk,199.95,9788740068733
4,De hvide nætter,Katrine Engberg,Dansk,199.95,9788775622832
5,Tre,Valérie Perrin,Dansk,199.95,9788775621118
6,Bødlernes daggry,Michael Katz Krefeld,Dansk,199.95,9788711996812
7,Nathuset,Jo Nesbø,Dansk,159.95,9788770078672
8,Vanedyr,Nicklas Brendborg,Dansk,219.95,9788773396995
9,Bedrag bedragerne,Jan Guillou,Dansk,159.95,9788770078924
10,Under en anden himmel,Mich Vraa,Dansk,199.95,9788711996713
11,Byttet,Stefan Ahnhem,Dansk,149.95,9788727043890
12, Sømærke,Lærke Kløvedal,Dansk,159.95,9788743404170
13,Den sorte hund,Elly Griffiths,Dansk,189.95,9788712075165
14,Sår,Sara Blaedel,Dansk,199.95,9788740083576
15,Det brændende blad,Katrine Engberg,Dansk,199.95,9788793983649
16,Lysets våben,Ken Follett,Dansk,189.95,9788702399158
17,De bedste familier ,Kim Blæsbjerg,Dansk,169.95,9788743403265
18,Mørket bag dig,Kirsten Thorup,Dansk,159.95,9788702324686
19,Blodmånen,Jo Nesbø,Dansk,159.95,9788770077620
20,Adams arv,Sofie Lassen-Kahlke,Dansk,199.95,9788740068757
21,Bjørn,Iben Mondrup,Dansk,199.95,9788740068818
22,Imperiet (Ravn-serien nr. 7),Michael Katz Krefeld,Dansk,99.95,9788711981344
23,Vølvens vej - Ulvegabet,Anne-Marie Vedsø Olesen,Dansk,179.95,9788727116457
24,Siden den aften,Karin Slaughter,Dansk,179.95,9788743513285
25,I dine sko,Jojo Moyes,Dansk,199.95,9788793983465
26,Troldmanden fra Kreml,Giuliano da Empoli,Dansk,179.95,9788740085068
27,Gøgeungen,Camilla Läckberg,Dansk,209.95,9788775930937
28,Elins død,Sara Blaedel,Dansk,199.95,9788740081381
29,Skyggeriget,Kim Faber,Dansk,199.95,9788740080872
30,City,Jesper Stein,Dansk,199.95,9788740083507
31,Pigen under jorden,Elly Griffiths,Dansk,79.95,9788712055501
32,Natrium Chlorid,Jussi Adler-Olsen,Dansk,199.95,9788740074987
33,Gopler ældes baglæns,Nicklas Brendborg,Dansk,189.95,9788773399538
34,Ligene i lysthuset,Anna Grue,Dansk,179.95,9788727082202
35,OXEN – De frosne flammer,Jens Henrik Jensen,Dansk,139.95,9788740028720
36,Mirage,Camilla Läckberg,Dansk,179.95,9788775935031
37,Nattens udyr,Michael Katz Krefeld,Dansk,79.95,9788711989067
38,Mørket kalder,Michael Katz Krefeld,Dansk,79.95,9788711910320
39,Lenins bodyguard,Leif Davidsen,Dansk,199.95,9788711996652
40,Løb som floden,Shelley Read,Dansk,199.95,9788740083460
41,Troskyldigheden selv,Lone Theils,Dansk,149.95,9788727013954
42,En Oceankrydsning,Lars Asp Møller,Dansk,74.95,9788740440003
43,Kult,Camilla Läckberg,Dansk,179.95,9788775930067
44,Box,Camilla Läckberg,Dansk,179.95,9788772385952
45,OXEN – De mørke mænd,Jens Henrik Jensen,Dansk,109.95,9788740016390
46,Den våde grav,Robert Galbraith,Dansk,159.95,9788702408218
47,En syerske i New York,Natasha Lester,Dansk,199.95,9788775620289
48,Vølvens vej - Snehild,Anne-Marie Vedsø Olesen,Dansk,79.95,9788711986004
49,Drømmer,Claus Meyer,Dansk,219.95,9788773396964
50,Stormbjerget,Liza Marklund,Dansk,179.95,9788775935055
51,11%,Maren Uthaug,Dansk,179.95,9788711996799
52,OXEN – De hængte hunde,Jens Henrik Jensen,Dansk,109.95,9788740007336
53,Mosen,Liza Marklund,Dansk,179.95,9788775930296
54,Hafni fortæller,Helle Helle,Dansk,159.95,9788743406044
